name,price,rating,total reviews,total positive reviews,total negative reviews,Cost Efficiency,Consumer Satisfaction ratio,AI Feedback
Union Horse Reunion Barrel Strength Straight Rye,0.0,none,none,none,none,none,none,
Western Reserve Cask Series Straight Rye Finished in a Caribbean Cask,0.0,none,none,none,none,none,none,
Good Times Madagascar Vanilla Caramel Rye,0.0,none,none,none,none,none,none,
Good Times Toasted Cherry Vanilla Rye,0.0,none,none,none,none,none,none,
Good Times Double Oak Mexican Vanilla Rye,0.0,none,none,none,none,none,none,
Good Times Orange Rye,0.0,none,none,none,none,none,none,
Smoke Wagon Private Barrel Straight Rye Whiskey,0.0,none,none,none,none,none,none,
O.K.I. Single Barrel Straight 100% Rye Whiskey,0.0,none,none,none,none,none,none,
Rossville Union 6 Year Old Bottled in Bond Straight Rye,0.0,none,none,none,none,none,none,
Rossville Union 7 Year Old Barrel Proof Straight Rye,0.0,none,none,none,none,none,none,
Barrell Rye Private Release Finished in a Bourbon Barrel,0.0,none,none,none,none,none,none,
Barrell Rye Private Release Finished in an Armagnac Cask,0.0,none,none,none,none,none,none,
Barrell Rye Private Release Finished in an OX Cognac Cask,0.0,none,none,none,none,none,none,
Barrell Rye Private Release Finished in an Oloroso Sherry Barrel,0.0,none,none,none,none,none,none,
Barrell Rye Private Release Finished in a Madeira Barrel,0.0,none,none,none,none,none,none,
Barrell Rye Private Release Finished in a Ruby Port Barrel,0.0,none,none,none,none,none,none,
Barrell Rye Private Release Finished in a Barbados Rum Cask,0.0,none,none,none,none,none,none,
Barrell Rye Private Release Finished in a Sauternes Barrel,0.0,none,none,none,none,none,none,
Barrell Rye Private Release Finished in a Tokaji Barrel,0.0,none,none,none,none,none,none,
Barrell Rye Private Release Finished in a Pedro Ximenez Sherry Barrel,0.0,none,none,none,none,none,none,
Nelson Bros. Straight Rye Whiskey,0.0,none,none,none,none,none,none,
Vintage Rye 21 Year Old Whiskey Produced by Willett Distillery,0.0,none,none,none,none,none,none,
Woody Creek Overproof Rye,0.0,none,none,none,none,none,none,
Woody Creek High Rye Bourbon,0.0,none,none,none,none,none,none,
Woody Creek Single Barrel Rye,0.0,none,none,none,none,none,none,
Jefferson's Ocean Aged At Sea Voyage 26 Double Barrel Rye Whiskey,0.0,none,none,none,none,none,none,
Catoctin Creek Ragnarok Rye Whiskey Collaboration with GWAR Batch 2022,0.0,none,none,none,none,none,none,
Smooth Ambler Old Scout Port Cask Finish,64.99,none,none,none,none,none,none,
Smooth Ambler Old Scout Cask Strength Single Barrel Rye,0.0,none,none,none,none,none,none,
Sagamore Spirit 8 Year Old New Charred Oak Barrels,0.0,none,none,none,none,none,none,
Catoctin Creek Ragnarok Rye Whisky Collaboration with GWAR 2021,0.0,none,none,none,none,none,none,
Gold Run Rye Whiskey,69.99,none,none,none,none,none,none,
Redemption Sur Lee Rye Whiskey,0.0,none,none,none,none,none,none,
Michter's Barrel Strength Rye 2022 Release,0.0,none,none,none,none,none,none,
Barrell Craft Spirits Seagrass Gold Label,0.0,none,none,none,none,none,none,
Stellum Cask Strength Rye Black,0.0,none,none,none,none,none,none,
WhistlePig Piggyback 6 Year Old Single Barrel Rye,0.0,none,none,none,none,none,none,
Buffalo Distilling One Foot Cock Empire Rye,0.0,none,none,none,none,none,none,
Whistlepig PiggyBack Barreled Age Rye Smash Canned Cocktail Blackberry Lemon Fizz,0.0,none,none,none,none,none,none,
Whistlepig PiggyBack Barreled Age Rye Smash Canned Cocktail Fresh Ginger Lime,0.0,none,none,none,none,none,none,
Whistlepig PiggyBack Barreled Age Rye Smash Canned Cocktail Session Citrus Mint,0.0,none,none,none,none,none,none,
Dictador 2 Masters - Drew Mayville Rye,1499.99,none,none,none,none,none,none,
Peerless Rye Finished In A Brandy Barrel,0.0,none,none,none,none,none,none,
Peerless Rye Finished In A Cognac Barrel,0.0,none,none,none,none,none,none,
Peerless Rye Finished In A Mead Barrel,0.0,none,none,none,none,none,none,
Peerless Rye Finished In A Orange Curacao Barrel,0.0,none,none,none,none,none,none,
Peerless Rye Finished In A Rum Barrel,0.0,none,none,none,none,none,none,
Peerless Rye Finished In A Wine Barrel,0.0,none,none,none,none,none,none,
Peerless Rye Finished In An Absinthe Barrel,0.0,none,none,none,none,none,none,
Hillrock Double Cask Rye Whiskey Port Finish,0.0,none,none,none,none,none,none,
Leopold Bros Three Chamber Rye Whiskey Bottled In Bond,0.0,none,none,none,none,none,none,
Michter’s US 1 Barrel Strength Rye 2021 Edition,399.99,none,none,none,none,none,none,
WhistlePig Farmstock Buckeye Batch,0.0,none,none,none,none,none,none,
Whistle Pig 18 Year Single Barrel Rye Whiskey,0.0,none,none,none,none,none,none,
Clyde May's 8 Year Old Straight Rye Whiskey,0.0,none,none,none,none,none,none,
River Basin Rye,47.99,none,none,none,none,none,none,
Old Potrero Single Malt Straight Rye Whiskey,79.99,none,none,none,none,none,none,
Devils River Rye Whiskey,33.99,none,none,none,none,none,none,
Laws San Luis Valley Straight Rye Cask Strength,89.99,none,none,none,none,none,none,
California Cowboy Rye,34.99,none,none,none,none,none,none,
Redemption 10 Year Old Barrel Proof Rye,99.0,none,none,none,none,none,none,
Redemption 10 Year Old Barrel Proof High Rye Bourbon,99.0,none,none,none,none,none,none,
"291 Colorado Rye Whiskey, Single Barrel",71.0,none,none,none,none,none,none,
Oak & Eden Round Prairie Rye,75.0,none,none,none,none,none,none,
(ri)1 Straight Rye Whiskey,59.99,none,none,none,none,none,none,
Cat’s Eye Distillery Obtainium 14 Year Old Canadian Rye,139.99,5.0,1,1,0,27.0,0,
Old Overholt 114 Proof,0.0,none,none,none,none,none,none,
Old Overholt 11 Year Old,0.0,none,none,none,none,none,none,
Jefferson’s 10 Year Old Rye Whiskey,249.99,none,none,none,none,none,none,
Wild Turkey Rare Breed Barrel Proof Rye,64.99,none,none,none,none,none,none,
Sazerac Rye 18 Year Old 2019,0.0,none,none,none,none,none,none,
Thomas H. Handy Sazerac Rye 2019,999.99,none,none,none,none,none,none,
Russell’s Reserve 2002,1399.99,none,none,none,none,none,none,
High West Rocky Mountain Rye 16 Years Old Batch # 2,649.99,none,none,none,none,none,none,
Angel's Envy Rye Batch #1,200.0,5.0,1,1,0,40.0,0,
Willett Family Estate Bottled 9 Year Old Barrel # 111,449.99,none,none,none,none,none,none,
WhistlePig The Boss Hog 13 Year Old,349.99,none,none,none,none,none,none,
WhistlePig The Boss Hog The Black Prince,499.99,none,none,none,none,none,none,
